id,versek
4,járnak kelnek sokan zöld erdőben vagyon nap épen lemenőben rózsákat fest utósó sugára dombtetőre lombok sudarára veszik csekélyebbnek megörvendezzenek párosult vadgalamb búgása fakad örömök forrása járok kelek zöld erdőben nap lementén gyönyörüségem nap lementén nap piros sugarán játszik lombok sudarán galambok búgása fakad bánatom forrása látom páros voltokat megsiratnom árva magamat 
16,üresen kancsó bort hamar javából vele boncidáig folyjon bor tenger megállhat lábán ember jer ölembe kincsem rózsám bor megittad csókra kerül sor igyál ürítsd szomjazom csókodat hű csókodat galambom 
22,jön ősz gólya hideg neki határ röpűl röpűl országba jobban süt nap rája oka gólyának hazát néz magának galambom elhagytál t'om okot találtál hív elejétől utójáig szivemben ősz tavasz nyár égett akihez röpűltél szivén tél megeshetik galambom noha neked kivánom gólya visszaszáll virító tavaszt talál visszaszállsz puszta sírhalmot találsz 
71,virít kikirics viríts viríts hervadok hervadok száradok viríts kikirics süt nap sugára halovány orcámra sütni alacsony siromnak keresztfájára anyám édes lelkem zokogsz mellettem szenvedett szegény gyermeked jobb odalenn 
74,szent kleofás karaván oláhcigány útazási rend pőre purdék serge jelent huzódik diszes csapat hosszu sorban zöld erdő családfő vén kehes lovon kötőfékszárnál fogva von üggyel bajjal izmos legény no hisz izzad szegény lehete gabancuk csikófogat elhullatta élete koplalásban tölt gyásznapokat esetben ép erő nyerhető rája nehezűl dáde egyedűl oldalain tarisznya lóg mindenikben rajkók láthatók kidugván borzas fejöket pityeregnek szörnyü éneket helyök legkényelmesebb gyaloglás keservesebb sipognak orgona tudja isten tartana nagyapjok hátra hátrarúg meglapulnak szépen fiúk megettök férj menyecske lyány egymás egymás után bagóz füstöt ereget képezőleg terhes felleget szemet rág fojtja tüdőt dohányuk paprikában főtt leghátul kócmadzagon lopott malac hetvenkedik boldogúlni vele sejt napja alkonyúl viseli roszúl segít meszelő nyele mellyel derék családanya vitézül nekirohana intéznek bátor lépteket faluvégtől falu végeig hős népet rettegtet szél megsüvegelik okosan kaján elem mértéken túl emberségtelen rájok amidőn akad súg fülökbe dolgokat lábszárok remeg nyárfa levele szél úr könnyü szekeren gyors lovakkal vidékre hajt régi kedvök terem farba rúgnak földi bajt 
75,szeretlek pipám dohányt benned ég füstöd fellege galambom szeme kék szeretem galambomat szeretem dohányt pipa leány érettem égnek egyaránt lyányszem füst kék menny födele ezek mennyfödél csillagtűzben lángol hasonmásául alkotá ég kettőt énnekem látva lássam kitől boldogságom nyerem 
103,világ galambom kicsiny birhatnálak világért adnálak nap éjjel teljes teli sötétséggel szivünk összeolvadna hajnal hasadna nézz süsd szemed elégeti lelkemet hisz úgysem szeretsz égjen árva lelkem 
111,pusztán születtem pusztán lakom födeles kéményes hajlokom cserényem paripám csikós alföldi rónán szőrén szoktam megűlni lovat útam akad szükséges nyereg hátán csikós alföldi rónán gyócs gatyám patyolat ingem vettem rózsám varrta ingyen piros rózsám csikósné alföldi rónán 
129,ezrivel terem fán meggy feleségem előbb sírba vinni furcsa istenteremtése ő reszketek közelembe jő megteszek kér dorgálás bér ilyesmit gondoltam megverem bírok vele hisz vén szemem közé néz bátorságom vész három izben holt istenem kedvem ördög vitte rosz ördögnek 
133,megiszom bort szeretem nehezen rajtam dolognak oka foka kancsó zsarnokszív gondolom vért ontanom gondolatra kancsóm kiürűl készítették feneketlenűl 
150,megköszönöm őszt alázatosan köszönöm világ örűl vigad énnekem örömöm iszik boldog boldogtalan szüret úton útfelen isten kegyelmiből száraz kortyokat nyelem búsan budára kullogok megállok vár tetején nagyszálnak borszülő hegye távolból kékellik felém nagyszálnak borszülő hegye napot szerzett haszna száraz kortyokat nyelem holmi falusi biró leteszem könyököm remélve búmat versben kinyögöm fejtörés boldogúl vers velem verselhetnék száraz kortyokat nyelem bosszusan álmosan ágyba vágom magamat szüret mormogom fülig takaró szüretről álmodom borról éjjelen azelőtt száraz kortyokat nyelem menne szüret menne pokolba hozná isten telet hideg házban huzzam meglövöm duna leszen fekvőhelyem jövő szüretkor száraz kortyokat nyelem 
168,gyere lovam tegyem rád nyergem galambomnál teremnem kengyelbe teszem ballábam lelkem galambomnál száll madár párjához siet sebesen száll hagyott minket érjük utol szaporán lovam párját ő szereti jobban 
192,elmondom rejtve tartogattam gyöngyét tenger legmélyebb habokban halld drága gyöngyöm szelíd galambom érezék szenvedék elmondom éreztem szerelmet szenvedtem miatta szerelmem szivem bánatja bánatom szerelmem ikertestvérek gyötörni általad levének szigorú körülmény ajkamat lezárta jőjön titkom tudtára minő teher viselnem hányszor alatta roskadóban lelkem napfény elvesz felhők fátyolában képedet szivemben eltemetni vágytam könnyü szél pusztítást tészen felhőben felsüt nap égetőbben hazudtam többször másokért szerelmet hazugság által kinom tudsz éreztem szenvedtem fogsz vígasztalni nyájas feleletben szólj üdvességemnek megváltó keresztje nyilik ajkad felelsz felelnél néma nyelvvel kiterítve holtan koporsóban fekszel 
229,hír költőnek híre bolondja irígye sovárg bálványa méltán hír fönséges terebély fa királyi széknél pompásabb árnyéka zöld ágait századokra nyujtja rontó enyészet vésze hozzá magzatjai késő világnak zarándokolni áhítattal járnak hír borostyánfája csoda hervadás bántja tövét meggyilkolt boldogság kiontott vére könyűi mossák 
235,kicsapott folyó vízben úszik táj túl vizen lakol édes rózsám várj elvitte árvíz töltést hidat hidból utósó darab halomról nézek vizen vízen keresztül galamb száll sebesen galamb igazán száll sohajtásom 
236,pest pest tagadhatatlan pestnek jóbarátja pártját fogom kellemes napom kivált h' utcán kóborolhatok angyaloknál boldogabb óriáskigyó bámészkodásom végighuzódik népsokaságon érdekes sziv örömében repes vargainasok pofozkodása bérkocsiknak embergázolása zsebmetszők pörölő kofák embert igen mulattatják látni időben sétára tarkabarka nőnem szépek szépek teringette elől kifestve hátul kitömve dicső arszlánok járnak nevezem baromvásárnak 
242,hah börtönöm ajtaja megnyilt börtön hivatal csókolgat drága szabadság édes tüzes ajkaival lelkem o lélek szárnyad suhogási vivének röpülsz végetlen előtted ut suhanna utánad fecske nyomodba jut lelkem után világba tart szív monddsza bánta távozni gondolat fáj fáj okért szeretőm sírhalom éjibe tért senki barátja puszta üres szót lelkem utálja pajtásaim értetek bú elhagyni fiúk titeket fáj szomorít ver kebelembe sebet vigadtunk időben szomorú búcsu se légyen cimboraság vigalomra pogány vigalom bút kiürült poharakkal kegyetlenül üssük agyon jön sor kézszoritásra könnyre fakadni senki lássa 
255,varróleány szeretőm azaz szeretem fennhangon kiáltja vadúl ugrándozó szivem kétség bolondos história egyéb hátra szeress varróleány orcáidat ember nézi látja sugarát lelked dicső villáminak szavad villám szem fényét ölő szikrákat ismerem párod elmésségben varróleány azonkivűl tündökölsz elmésség sugáriban könnyen megbukhatál erényednek közhíre elmés ördög angyal hogyne hajtanám térdeim előtted elmés varróleány meghajtom térdemet emelj szívedig ennél följebb vágyok hisz menny hetedik várok térdepelve ruházd szerető cimet varrd szemfedőmet szeretsz varróleány 
262,aggódol lelkem anyám kenyeretek barna hisz meglehet idehaza fehérebb kenyérrel él fiad add elém anyám bármilyen barna kenyér itthon jobb ízü énnekem fekete máshol fehér 
263,szól kakas viradóra kivígadtunk takarodjunk nyugovóra mai napnak ára t'om fáj fáj kezem szára fáj jobbkezem szára véghetetlen telt palackot emelgettem fáj karom utójára fölbirom palackot palackot bucsuzásra bor bor üvegből telesírom könnyeimmel szememből fájdalomnak örömnek örömnek könnye keblemnek megtelése fájdalomnak örömnek vegyülése örömem ered mennem ered ered fájdalmam kiskunsági szentmiklósnak ifju népe benyitottál szivemnek közepébe szivközép szentek szente ember fordult fordult helyet adtam benn ezután szemembe rabok szivembe' közöttetek visszatérek emléke barátság ünnepének ünnep barátság ünnepje hiszem elfeledje mostanáig vígadtunk tennap déltül csoda kissé fejem szédül miveltünk ettünk ittunk táncot jártunk táncot jártunk énekeltünk magyar mulatság iszik nyelve lába gyors honja haladása lábának táncol táncol mozgása száz szónak vége rajtatok barátim áldás béke vig mindhalálig pályátok amily vígak valamennyin valamennyin valátok ősz elszállna gólya mennék szóm vóna kimondjam mondjam eh kimondom szóltok szóltok szóltok gondom virít szentmiklósnak rózsája néztem rája megbűvölt édes arculatja lennék őtet őtet leszakasztja 
302,nyugszom mindörökké tart lelki harc leányka véget érő kínozással akarsz kínzasz gyötresz bántottalak megbántás előtted szeretlek imádalak szenvednem amennyit szívemet megvesztegetted lyányka örökké verjen ezelőtt reggeltül estig gyötörtettem kínpadon enyém pihentető éj éjem napom galamb száll felém álom édesgethetem galamb félénk madár száll elriasztja dobogó szivem kérlek lyányka parancsolj szivemnek csendesítsd vad pártütőt nehogy kétségb'esésnek óráján keresztüllőjem 
305,furcsa álmam éjjel lyányka megszúrtad szívemet vér kifolyt csepp vérből rózsa jelenthet álom szerelem szegény szivet halálra gyötri édes gyötrelem 
307,vándorélet irigylendő vándormadarak tudják tudják tél tavaszból másba szállanak vándorolni vándorolni fecske gólya szabadon add sorsot énnekem teremtőm hajdan kivánatom házi élet irigylendő házi madarak törődnek téllel tavasszal fészkeikben boldogak házasodni házasodni élni halni szerelmi láncokon add sorsot énnekem teremtőm mostan kivánatom 
310,elkárhozástól félt szegény anyám féltése alaptalan tart tőle igazsága régóta imádkozám imádkozom kezem szent áhitattal összekulcsolom hallgass égi hatalom hallgass édes istenem adj énnekem hó haza hatalmas isten népem istene kérni kellene hazámért baja kérelem évet lát teremtsd ujjá hazát hallgass édes istenem magamért kérjek magamért adj szépséges szeretőt meglátogassam gyors paripát babért fejemet ékesítse szénám abrakom csikóm tartanom hallgass édes istenem 
344,szeretsz annyian gyülölnek gyűlölök szeretlek szeretlek barátom barátom megbocsáss gúnynévvel illetélek jelenkor gyermekének szó barát gúnyolás percenként jobban jobban sötétül láthatárom éltemnek éjjelét rettegem várom hisz fényesebb csillag sötétb éjszaka szív mondja nékem lész sötét kietlen éjem hamvadhatatlan csillaga hiszek senkiben bizalmam életemben ah megcsalattam bizalmam várát fölgyujtották ledöntötték emberek romjai ép oszlop állasz magadban dönthettenek szentül hiszem világ elfordul szivemtül világnak ajakán átkok átka zendül ajkadról áldás lebben világ kéz eltaszít dögvészest kezed ölel tesz világ tenni vélem fejemre köveket hajít éltemet leélem hóhéraim halva fekszem agyonveretve egykoron koporsómhoz odalépnek megkövezének babérral födik homlokom babér amellyel világ gunyolja babér babér velőm égetni fogja tart égetése lelkem megmaradt fele eljövendesz koszorúmra könnyet ejtesz eloltod lángjait vele 
362,sírok panaszkodom mondom másnak bajom szinetlen arcaimra írva szemembe kiégett kiolvashatjátok rajtam átok fekszik átok fáj fáj élet 
393,barátim mondjátok mondtok hazugságot meglehet adom nektek hitemet adhatom dolgom napom lejár barátság nappal láthatatlan éjjel ragyog fénybogár 
409,láthatatlanok ördögök angyalok ismerni szeretném avégett tudja tudok ember melyikhez hasonlít jobban 
413,lót fut boldogság után ember dőre hátra nyomán igyekeznetek előttetek mögöttetek boldogság alattatok sírhalomban 
415,ér történik velem sejtek sejtelem rettentő rángatózik ugrándozik szivem porban levágott emberfő 
425,fejemben éj éjek éjjele éj kisértetekkel agyamban szűlik gondolatok tépik vadállatok lázzal verő szivemnek vére forr boszorkány üstjében bűvös viz gyúlt képzeletem meteor fut világon magával visz laktársam kétségbeesés szomszédom megőrülés 
456,piros orca piros ajkak barna fürtök barna szem arcon szemben lélek istenem óh birhatnám lelket lelkes kisleányt szólj leányka szerelem bánt szeretsz szeretsz szó életemnek új teremtője szeretlek szerelmem végtelen áradat földet özönvíz eltemette multamat tőled függ sötét árnyék fényes sugár legyek határzasz látásod megépíté mennyemet leányka mennyet szabad ledöntened letérdelek előtted esdve nyujtom karom vonj kebeledre borúlj angyalom 
468,szavaid megfontolom szeretsz gondolom mondod szeretsz szeretsz hitegetsz hiszed szeretlek isten áldjon áldjon isten amily igaz szerelmem megszerettem szépségedet lelkedet szeretlek igazán édes anyám ohajtok tavaszt véled átmulassam tavaszt telet életemet napja égnek holdja éjnek isten világon kívánságom várom órát szólhatok ölelésem szent hevében édes kedves feleségem 
474,álmodtam szépet gyönyörűt álmodtam fölébredék keltettél korán hagyál álmodni való küld boldogságról álmodám bántottad álmamat istenem istenem boldogságról álmodni szabad mondád többször szeretsz hivém hihetém mostan mondod elhiszem szíveden fölirva nevem maradjak elmenjek marasztasz mulatni vágysz lelkem baján hoztál rája lyány kegyetlenség bocsáss bocsáss menjek nekünk egymástól válni válni futnék tőled por forgószél elsodor ember nemjárta földekig alighogy léphetek bú elviszek nehezedik isten szót mondanom válik rögtöni halállá hang ajkamon isten megfogni kezedet üdvemet szétszaggatá jövőmet gyilkolta add kezed ömöljenek könyűim csókjaim reá könyűim csókjaim égeti jobban kezed csók könyű kettő forró szerelmemmel helyen szív mélységes mélyiben tűzhegyben termettenek ájtatos zarándokok jövének fel boldogok kezeden halhatnak egyet kérek félj félj kérem szerelmedet vigasztalást feledsz emlékezet fonalát jövődön nyujtod emlékezel lelsz forrón szeret sohasem felejtesz kivánom lelj hű szivet enyém szeretnélek vágyat érzeném ohajtom élj boldogul szedj fának ágirul szedj zöld leveleket vesd elvirúlt elszáradt régi koszorút emlékezetemet 
482,busúlnak virágok szegénykék betegek halálok tél közeleg aggastyánnak megőszült fürtei hullanak fáknak sárgult levelei vidéken körültekintenem messzeségben zöld bokrocska elfeledtem lelkem zöld bokor amelyben ősz nyomot hagy rajtad folyvást teremnek fognak virítani boldog szerelemnek örökzöld lombjai 
