id,versek
0,gondüző borocska vígan illan életem gondüző borocska sors hatalmad nevetem ámultok mondom bor istene imádok kebelnek mindene bor vidám hevében füttyentek rád zord világ szívemet kínnak skorpiói szaggaták bor tanítja húrjaimra csalni nyájas éneket bor tanítja elfeledni csalfa lyányok titeket borocska halál űzni jő korty nevetve dűlök jégöledbe temető 
2,haszna csoroszlya ugart fölhasogatja magot vetsz kóróval leszen kisleány pillantatod szivembe hatott földet csoroszlya keresztűlhasogatta hasogatta bú terem ültesd szerelmedet nő rózsa tövis 
5,katonának számüzött balvégzetem kétszer élt tavasz ligeten ligeten szív sorsomnak rabbilincse megtörött léleksujtó vész emésztő hatalommal szakadt keservesen megsiratni okom tavaszt megsiratni fogom hű bajtárs diszetlen kikelet tőn enyémmé évet kettő életem adnám kettőt szívesen érsz nékem jóbarát isten ád valál vélem híven felezéd nyomornak végső falatkenyerét falattal nékem adtad lelkedet falattal lelkünk összeköttetett hely erőszak idő szent frigyünk kötelét eltéphető hely erőszak idő szent frigyünk kötelét eltéphető ember szívre lel egyezzen egyez kebel minket sors fondor kénye hányt vetett minket csillagnak fénye vezetett szerelmet lénynek áldozánk néked éltünk égtünk hazánk közember homlokát néma bánat mély redői ráncolák látta gondolta keservünk gyászol drága hon jobb időkben pohár bútemetni köztünk kézről kézre járt hon éltetését zengte szánk hon megvetőit átkozánk tőlem jóbarát nyomd reménynek szavát hitetve súgja megjő kor szivünk hév ölelés összeforr él isten tudni fogja él szenvedtem bajtárs szenvedél él isten bánatért megadja várt pályabért 
35,tettem rólad szív barátom derék legény látom szív szív csalfa háladatlan szólj véde baj szakadatlan sorscsapási buzogányok súlya őrze óva nemde mellem lám mellnek bizton voltál rejtekében bekeríte csontfalával bástyaképen fordult kocka szerencse szeszélye víg ajakkal rád köszönte mostan ahha háladatlan örömödben háborogva zajgva tombolsz őröd égsz dagadsz alighogy bírom keresztet mellemet meggyujtod megrepeszted 
38,vigasztalást ad bánatomban innom magamat irgalmát avval borral bú egyikünk belehal úgysem tetszik világ énnekem életemben szenvedtem parányi életre baj kedve gyökeres fa virágzó letörött ág fonnyadó örömnek rózsája szomorúság gyászfája élet élet ember remélhet pohár borban halálom lehetne bajaimtól megválnom 
43,furulyám szomorúfűz ága temetőben szomorkodik fája metszettem sírhalomról csoda siralmasan szól hunytál kedves csillagom ragyogásod láthatom hogyne sötét világom élni kivánságom hazaballag nyájam estefelé ballagok temető holdnak halovány orcája furulyám epedő nótája epeszt bánat nyögöm keservemet hanggal egyetemben lelkem másvilágba reppen 
46,elkövettem lehetett remény fejében megszeret féktelen szilaj lelkem tűz szél meggyúlt háztetőkön űz lettem szelíd láng min melegszenek őszi estén békés pásztoremberek mélybe omló bérci zuhatag habjaim robajjal szakadoztanak lettem méla csermely halk morajtalan kedvemet lelő part virágiban sziklahomlok zordon magas lakott mennydörgő villám büszke sas lettem völgy ölébe rejtezett berek csalogányok búja kesereg levék lyányka régi űzöm drága bér áldozattal díj ér szerelem lerázom fölvett láncodat kedves lánc igaz lánc lelkem repdess régi szárnyadon szabadság végtelenje von 
48,virágnak megtiltani nyíljék jön kikelet kikelet lyány virág szerelem kikeletre virítani kénytelen kedves babám megláttalak szeretlek szeretője lettem lelkednek lelkednek mosolyog szelíden szemeidnek bűvösbájos tükrében titkos kérdés keletkezik szivemben szeretsz gyöngyvirágom űzi gondolat ősszel felhő napsugarat tudnám másnak vár csókjára tündér orcád tejben úszó rózsája bujdosója lennék világnak od'adnám magamat halálnak ragyogj boldogságom csillaga életem bús éjszaka szeress szívem gyöngye isten áldja lelkedet 
52,tied tied hazám szív lélek szeretnék szeretnélek szentegyház keblem belseje oltára képed állj templomot eldöntöm összeroskadó kebel végső imája áldás honra istenem áldása rája mondom kiáltom legkedvesebbem világon titkon kisérem lépteid mindegyre híven árny útazót időben árnyék nő est közelget nő búm sötétedni kezd hazám fölötted elmegyek híveid pohárt emelve sorstól új fényt esdenek szent életedre kihajtom cseppig borát telt üvegnek keserű könnyeim beléperegnek 
60,hányadik pohár ötödik teremt' ugyse becsülettel működik máskor megfe felelek kétannyinak lábaim öttől inganak ing lábam nyelvem elakad torkom therpomyléi szorulat ledionas bor lecsepege gondolatim sex rex xerxes serege sehogysem t'om kifejezni magamat hiszitek bor higgyétek édes atyámfiai bor szokott megártani bor hogymikép ártana katona biz fölmarkolta katona mégpedig bakancsos zöldhajtókás sárgapitykés közlegény közlegénységig fölvivém bakancsom hamar lerúghatám idővel degradáltak tyhű látjátok könnyen megesik katonai pálya fene sik legkivált olyfélének kissé akaratos feje útmutatást adjatok szent dávid hárfájára hallgatok orrnál fogva senki cibál cselekszem tetszik tudja pál kaszál eh másra malom darálok darálok szomjazom adjatok bort malom megyen nedv hajtsa bőviben igyam forogjon kerekem állok kancsó feneken falstaff szólana mondom mérföldig tartana hagytam tudja gólya igaz malom utósó mondtam malomról bizon présbe csavarítnak szent szemem héja nehez malomkő álom környekez tivornya ágyba álmadozzuk folytatását 'jszakát 
