id,versek
8,hab vész félem haragát kebelemnek pusztaságit száz vihar rohanja gyorsan evezőhöz talpra reszkető legény toronnyá nő hullám túlpartra szállok éj borong sűrü ködnek kétségbarna éjjele lyány temetve emléked égő szerelemmel enyelegve játszhatál hűséget esküvél megcsalál tűnnek partok tűn gyászvidék szivemnek béke csönde romhalomba dönteték tűnjön tőlem légyen jel multat érzeményim háborítni költse fel hah kép leng ködéjben bájoló tavasz szőke fürttel kék szemekkel hűtelen lyány képed nagyvilágon hely csalfa alak sebemre ír csepegjen feledni tudjalak 
11,éj leng alá mély vadonra út jobb balra tér lépteim bolyongva tévedeznek hű vezér menny ivén fölöttem ragyognak égő csillagok vajh talál célra pályám lángjaiknak hinni égi fények ezredénél lyányszem tündöklőbb vala hittem súgarának haj megcsala 
31,istenem várva várom órát amidőn rendelt végzet leány ölembe jön minő szerelmesem sovárgok tudni sovárgá senki szőke barna fürte szeme kék fekete felnyúló cédrus gömbölyű termete szőke barna kettő bájjal jóság frigybe lép isten ilyet adjsza nékem bánom ilyet adj szőke barna kicsiny 
32,istenem várva várom órát amidőn rendelt végzet leány ölembe jön minő szerelmesem sovárgok tudni sovárgá senki szőke barna fürte szeme kék fekete felnyúló cédrus gömbölyű termete szőke barna kettő bájjal jóság frigybe lép isten ilyet adjsza nékem bánom ilyet adj szőke barna kicsiny 
62,ver isten szeretőt kerestem hagytál délibáb hűséged iskolába járattak olvasni tanítottak szemedből kiolvasom szivedben bánat vagyon búsulsz megbántad megbántottál sose búsúlj késő elmúlt jő találtam magamnak találj magadnak éljed világodat vele áldjon isten vele 
66,keresztúton állok tartsak kelet visz nyugatnak akármerre megyek szomorú életem vár halál egyenesen választhatnám 
67,bort érezek betérek térnék egerbe várost elkerülném isten megverne egyúttal megtekintem vítt dobó lelke felköszöntöm dicsőn megénekelte hiszem bortól hatalmas kedvem lészen verset csinálok pesten eladhatom pénzen határzat erősen egerbe mennem édes vonzerőnek szívem állhat 
84,hozd hozd bort kisleány hisz részeg megrészegített kellemed fölfordította eszemet ihatom borban szerelmet hozsz angyalom szerelmedet addsza poharat iszom csepp méreg addsza lenyelem 
89,kicsinke szőke leányka szerelmem tárgya szerelemnek szőke lány mondasz erre szőke kislány fele lennél énnékem feleség eljössz szépséges fejkötőt veszek mondom kimondhatatlan hüséges férj őrzöm szemem fényét jobban őrzelek drága egészségednek ártson hideg meleg fenn lakunk pest városában élet vig atyushoz lejárunk kivált pénzfogyatán suttogják utcán végigmegyek petőfi felesége erről csinál verseket csinálok teringettét bámulnak magyarország nevemmel estenként nekiűlök azalatt lefekszel szépen melegíted ágyamat elkészűl dicső vers levetkezem simúlok mondom menj beljebb gyermekem éldegélnénk ennyit akartam mondani szólsz szőke kislány valami 
98,árvalyányhaj süvegem bokrétája árva leány szerelmem violája magamnak kinn pusztán szakasztottam magamnak faluban választottam gyönyörű szőke leány kedvesem kételkedem kék virág tiszta búza terem mátkámnak kék virág szemiben 
