id,versek
41,petőfi félhetsz vállad szerencse áldásának terhétől összerogy adománya mindössze lantocska dal búsan vígan érzelmid játéka csal találna szólni tündérvilági hang nos fiam jókedvem megadand mondaná rád ruházom bübájat varázst daljaid kivánod azzá testesülni lásd hír hangod borostyángally petrarca koszorúja vet árnyat fürtiden hisz petrarca petőfi rokon osztozhatnak borostyánlombokon kincs megannyi gyönggyé válik éneked mígnem gyönggyel rakhatod gombod sarkantyúszeged felelnél mindezekre felelnél fiú szived bibéjét szél honnan fú felelnéd hír kincs kivánnám abból ezermesterré engeded válhatom hírnél kincsnél igézőbb hatalom csillagfüggés égen változatlan végtelen függ vágyban égő kebelem lépvessző kalitka énekem legszebb madárt lyányka szívét fogja 
55,adta finnyás közönsége csúnyaság este megköszönti társaságunk füttyivel füttyök jövedelem színész megszökni kénytelen ej rókát kétszer nyúzni urak megyen fütty színházban 
115,virány mult szorgalmatos méh hű emlékezet meghozza méz szivembe szerelmemet hozza haj esék prózai világban költőiség iskolás fiú gazdámnak lyányát szerettem boldog valék lyánykától viszontszerettetém szeretett ő ebédnél tálalni ő szokott mindenkor elémbe tette legjobb falatot uzsonnára kaptam tőle sonkát szerével kamrából kihozni lehetett jött este holdvilág kertbe illanánk kertben várt üdvek üdve ránk csend méláza természet ünnepélyesen békák kuruttyolának szomszéd réteken regényes helyzetben érzelgénk boldogan mondók ejnye süt hold este ah idők elmulátok terem számomra sonka leány 
120,nézz nézz lelkem nézz kissé páholyodból nézz szemeiddel percig irgalomból tudnád ah tudnád elbájoltál véghetetlen állok este bálvány merevedten forintom vacsorára szántam jegyet vettem szimpátiád irántam nézesz o nézz állok közeledben akkorákat sóhajtok kárpit meglebben nézd bú fintoritja szentimentális pofámot bánod 'sz malheuröm bánod 
156,semmim semmim hazában övé bánat örömkönny forr szememben sötétül napja fölragyog örömkönyűim gyér vendégek minálunk hű honfiszem törtök telt kebelből édes terhétől szívem megreped láttátok tündérvirágot borús hazánknak sarkcsillagát evezhetsz bátran nemzetem hajója veszthet célt ilyet lát megmutatta szent vágyaimnak szövétnekfény fény lánghoz képest égett keblem belsején álltak égi jelenések szokatlan köztünk látomány hahogy néztem szemfényemet vesztettem hallottam édes ajkaik zenéjét hallottam halkan mondani tetteik rég fennszóval beszélnek honnak hű leányai lég ajkaiknál vittem hangokat napvilágot mindenegy magyarhoz éj környékez honfibú ragyogjatok ébredő hazámban hajnalsugárral testvércsillagok sugáritokra memnon szobraképen nemzetáldás zengedezni 
161,élet halál kétség irtóztató mehet mer nyer példaszó hozzá megyek hozzá mennem szívem fölnyitom lássa kín érte hordozom szenvedésem látni fogja halvány színt meglágyul indulatja szánakozni könyvéből szemének drága sort olvashatom hisz rég kisérlek titkos bánatom csókja szent kulcsával nyitand számomra eget őrültet szolga által szobájából kilöket 
194,zárjátok koporsót vigyétek temetőbe hisz rég nézem megmaradjon képe szívem lelkem összetépje 
211,tavasz gondolám ősszel várlak boldogságommal jősz kinn falun ifju galambom szabad meglátogatnom tőle száz mérföldre lennék száz mérföldről hozzája mennék jön nap hajnal ölelésre nap éj fölébresztésre hold zultán belépe csillaglyányos gazdag háremébe galambom hű árnyéka lészek követője lépésének szerelme tavasz virágod melegűlő keblén kicsirázott ő virágot szűzi pirulással szivemre tűzi tűzné lehetetlenség menyasszonycsók leend vége tavasznak illatos füzére tegyelek jegyesem fejére tavasznak illatos füzére tegyelek sírja keresztjére 
231,toronyban delet harangoznak fejem tetejére süt nap sírom rövid árnyékom kihozta ebédet gyerek látom bort küldtek savanyú kiürítem savanyúbb életem élet élet áldástalan élet számadásod velem végzed mondod menj isten hirével porladozzál porló szeretőddel 
239,nap nap nap tulajdonkép szappanbuborék valami óriásfiú kifúja reggel keleten szétpattan este nyúgaton nap megyen 
247,ebédre hítak elfogadtam meghivást szívesen ebédre nézve vettem észre köztünk lyány leszen lyány mégpedig könnyű lehellet termete fehér egén szemének sötétkék napok égtek tartozik lyányka tüstént megszeretém kigyúlt indúlatommal ebéd után azonnal kirontok elmélkedém ebéd erősen szítam szíverősítő italt pillanatban biztosabban vívhassam diadalt hah szíverősítő megerősíté szívemet erőből lábamban maradván kirontanom lehetett 
291,szerelembe estem igazán féleszű szemkötősdit játszanak fejemben falnak gondolatok csoda olyasmit teszek józanan tőlem láttatok szégyenlek kivallni tükörbe pillantgatok reggel estét kivánok reggelt este isten hozott mondom menőnek jő élj boldogan tollam porzóba mártom tintát porzónak veszem mindez hagyján szájamba szivar tüzes végét teszem erre elmondhatni valóságos szerelem sebe miattad kaptam lyányka illő csókod gyógyítsa 
295,őszi reggel járok szabadban nézek szerteszét sűrü ködnek fátyolában táj toronynak látni hegyét természet elhagyott szentegyház buzgó népe virágok hallgat orgonája hallgat énekesmadár természet néma szentegyháza fölzajlik idén tavasznak mintegy viszhangjául szüretnek megjövetelén szüret víg kellemes mulatság sóhajtott szivem szeretnék szüretelni szőlőhegyem beérném gerezddel szőlőhegy epeszt beérném leányka legszebb legédesebb gerezd 
322,kétszázezer forint reá gondolni merek nagyúr mennykő úr föltéve persze nyerek teszem pénzt mindenh'á ládámba penészedik ládámban hiszem istenem nyerek elnyargalok tóth gáspárhoz hirtelen úrnál eddigi kontóm szépen lekvittelem (most készpénzemért téli öltönyt varratok tél mostani ruhámban fagyhatok esik fogat vicsorgat énrám hideg hahá jólesik fügét mutatni őkegyelminek nyerünk nyerünk isten téli öltöny sebaj megszoktam hideget 
