id,versek
37,befordúltam konyhára rágyujtottam pipára azaz rágyujtottam égett pipám javában égett mentem végett mentem megláttam odabenn leány tüzet rakott eszemadta lobogott rakta szeme párja lángja beléptem ő nézett aligha igézett égő pipám kialudott alvó szívem meggyúladott 
40,bús ember kedve borba kedvmag vetve iszunk állunk tíz husz pintig minékünk pincénk házunk mindazáltal tanyázunk tanyázunk naphosszában tanyázunk kocsmában tanyázunk nékünk nékünk feleségünk nyelves szájas asszony ember hallgasson minékünk pénzünk pénzre nézünk holtig él ember költeni mer mer iddogálunk fel kötik állunk iddogálunk naphosszában iddogálunk kocsmában 
42,fölhangolom olykor lant idegeit megzengeni o kellemes élet kellemes noha sebet ejt rengetegekbe uta téved magasra törekszik dal bármint csalogassam életi mézzel mélázva örömtelen hangjaival mindenkor sírban sírban enyész kivánatos tavasz éke indúlok olykor örűlni virághoz kertbe röpíti sugárit szem lábam temetői keresztek alá hoz élek szív komoly álmainak halk temető morajatlan ölében ákácai lombja rezegve inog hintázza est fuvalomja szelíden szobrok domboru hant elején mindannyi betűi isteni lapnak gondolatit olvasom sírba sírbul égbe ragadnak bús tompa harang konog faluban új gödröt komor emberek ásnak gyászhangja kiséri áhítatosan holtat honához hamvadozásnak sejtése szivemnek aligha csaland keze időnek ágyba tesz szememre halál örök álmai jőnek isten neki üssön ütnie pályafutásom elállja óra létem fonalai szakadozzatok társim bucsucsókot hervadozóra sorsom elérni engede vágyaimon koszorúba szövődék isten égi virág szerelem föld hajnali csillaga napja dicsőség 
44,szerelem szerelem szerelem sötét verem beleestem láthatok hallhatok őrizem apám nyáját hallom kolompját rámegy zöld vetésre későn veszem észre telerakta édesanyám eleséggel tarisznyám elvesztettem szerencsésen módom böjtölésben édesapám édesanyám bizzatok nézzétek hibázok csinálok 
45,idegen tekintesz hidegen hidegen téli napsugár mosolya faggyal szeretnék mondani merlek megszólítani merlek nézni elnéznélek világ végeig emelj magadhoz fogadd neked szánt lelkemet annyibul megérdemli szeretni képes igazán szerelmem forró szerelem forróbb dél nyárközepen nap tűzzel sütne ránk rég elégett világ 
53,elmondanám megállj leányka megállj virágom csillagom istenadta szívet bírok nesze neked adom elmondanám szívem tenger uralkodjál tengeren jársz vele legszebb gyöngy hűség gyöngye terem elmondanám tiszta fényét gyöngy örökre tartja elmondanám többet ennél mondom 
56,isten elpártolt barát veszett ebként szívem megmarád isten fogadd vett sebért emlékül fölszivárog belsejébül lelkemnek vérét könnyemet legelső rajtam seb fájóbb mérgesebb vétkes könnyelmüséggel hűtelenség fegyverével baráti kéz ütött dúsgazdag bánya tapasztalás melyből ember életkincset ás gyönyörszomjas szivem remélve megnyílt örvénybe hanyatthomlok rohan szegény remény remény virág nekünk ég ád hervadandó kelyhed légyen csalódás éjjelében szemünk harmatjai hulljanak panaszlok keblem teli elfojtás neveli búm tengerét tudja hallnád lelkem kiáradó fájdalmát értenéd kivánom megtérésedet ohajtod megveted frígyemet istenség tehetetlen eggyé büvölni kebelben szertezúzott láncszemet láncszem világ vala napjául hit lángola drága hit rájött végitélet napja támaszthatja ledúlt világom romjait isten elpártolt barát ábrándim ködét elzavarád isten fogadd múltakért emlékül megcsalt barátság gyötrelmétül omlott könnyemet 
65,csináljak meginnám borát országnak mentül megiszom iszonyúbban szomjazom tesz isten csodát változtatná borrá tiszát lehetnék duna tisza omlana 
72,szentgellérthegynél mélyebb duna vizénél dunaviznél mélyebb mély szerelmem szentgellértnél keservem dunaparton fűbe heveredtem halásztak halászok mellettem kihalásztak apró halat hálójokban alighogy megakadt tudnám hálómba valami hal akadna akkora berántana halászni kedvem 
83,álmodom látok igazán látok tündér leány leány tündér bánnám szeretne 
